# Collocations

# Corpus: nature_full
# Query:  word,[lc="carbon"|lemma_lc="carbon"] 38866

	Freq	T-score	MI	logDice	
primary	26	3.760	1.929	4.145	
studies	33	2.866	0.997	4.139	
remineralization	21	4.540	6.758	4.136	
Net	21	4.530	6.440	4.134	
Project	22	4.335	3.721	4.131	
above-ground	21	4.516	6.102	4.131	
supported	25	3.804	2.064	4.123	
shift	23	4.114	2.815	4.121	
acid	31	2.979	1.105	4.119	
addition	29	3.223	1.316	4.118	
methanol	22	4.277	3.504	4.118	
fuel	22	4.232	3.355	4.108	
we	53	1.007	0.215	4.104	
back	22	4.202	3.264	4.102	
T.	39	2.045	0.572	4.099	
Forest	21	4.370	4.431	4.098	
unit	22	4.144	3.102	4.089	
E.	45	1.466	0.356	4.088	
diffusion	22	4.134	3.075	4.087	
before	27	3.285	1.443	4.078	
alter	21	4.258	3.820	4.073	
rather	23	3.870	2.372	4.069	
catalyst	21	4.230	3.699	4.067	
MAC	20	4.431	6.754	4.066	
drawdown	20	4.430	6.726	4.066	
must	23	3.853	2.347	4.065	
OC	20	4.404	6.045	4.060	
rearrangement	20	4.391	5.783	4.057	
among	26	3.320	1.519	4.056	
functionalized	20	4.383	5.644	4.056	
corresponding	24	3.634	1.953	4.056	
aerosol	21	4.174	3.488	4.055	
level	28	2.999	1.207	4.051	
Regional	20	4.359	5.305	4.050	
hollow	20	4.357	5.276	4.050	
remaining	21	4.132	3.345	4.045	
secondary	22	3.914	2.595	4.040	
fibres	20	4.292	4.638	4.036	
quantities	20	4.279	4.533	4.033	
graphite	20	4.267	4.446	4.030	
fate	20	4.260	4.400	4.029	
metabolic	25	3.328	1.581	4.027	
Amazon	20	4.255	4.362	4.027	
fertilization	20	4.245	4.298	4.025	
time	36	1.871	0.539	4.023	
N.	30	2.559	0.909	4.020	
Although	26	3.118	1.364	4.018	
Y.	27	2.953	1.212	4.015	
For	33	2.116	0.663	4.008	
compared	27	2.913	1.186	4.008	
mg	22	3.755	2.326	4.007	
nanodots	19	4.341	7.903	3.998	
include	22	3.705	2.251	3.997	
outgassing	19	4.326	7.065	3.995	
tape	19	4.326	7.058	3.995	
copper	20	4.077	3.499	3.989	
microspheres	19	4.298	6.154	3.988	
act	20	4.065	3.459	3.987	
fresh	20	4.051	3.408	3.984	
High-resolution	19	4.262	5.488	3.980	
process	25	3.067	1.371	3.977	
tropospheric	19	4.225	5.023	3.972	
activity	31	2.142	0.701	3.970	
extra	19	4.214	4.911	3.970	
versus	22	3.560	2.053	3.968	
deforestation	19	4.202	4.795	3.968	
peat	19	4.198	4.760	3.967	
tundra	19	4.185	4.647	3.964	
volatile	19	4.172	4.544	3.961	
substantial	20	3.927	3.037	3.958	
show	27	2.636	1.021	3.957	
47	20	3.920	3.017	3.956	
capacity	21	3.701	2.378	3.955	
persistent	19	4.144	4.341	3.955	
decreased	21	3.692	2.363	3.953	
Full	36	1.399	0.383	3.948	
initial	22	3.451	1.920	3.946	
mainly	20	3.869	2.891	3.946	
direct	22	3.449	1.917	3.946	
electron	23	3.235	1.619	3.942	
respectively	27	2.540	0.968	3.940	
it	39	0.924	0.231	3.926	
and/or	20	3.773	2.678	3.926	
glucose-derived	18	4.235	9.120	3.922	
fluctuations	19	3.983	3.536	3.921	
Particulate	18	4.226	8.010	3.920	
tax	18	4.225	7.893	3.920	
networks	20	3.742	2.614	3.920	
mean	27	2.421	0.905	3.919	
grams	18	4.216	7.304	3.918	
individual	23	3.104	1.503	3.917	
Enrichment	18	4.195	6.476	3.914	
exchanges	18	4.195	6.471	3.913	
inventories	18	4.178	6.029	3.910	
gains	18	4.177	6.017	3.910	
grasslands	18	4.146	5.461	3.903	
inventory	18	4.122	5.141	3.898	
yellow	19	3.852	3.105	3.894	
driven	19	3.832	3.049	3.890	
inactive	18	4.069	4.614	3.887	
difference	21	3.346	1.890	3.885	
complex	25	2.560	1.035	3.885	
If	20	3.561	2.295	3.883	
accumulated	18	4.044	4.415	3.882	
